Sl No,Player's Name,Team,From,Run,Ball,Strike Rate,Four,Six,Balls Bowled,Runs Concede,Economy,Wickets,Ct_St,Matches Played,Age
243,Sunny Singh,KXI,IND,0,0,-,0,0,0,0,-,0,0,0,25
244,Sunny Sohal,DC,IND,0,0,-,0,0,0,0,-,0,0,0,24
245,Suraj Randiv,CSK,SL,0,0,-,0,0,0,0,-,0,0,0,27
246,Suresh Raina,CSK,IND,341,270,126.2962963,30,13,84,105,7.5,2,9,16,25
247,Suryakumar Yadav,MI,IND,0,0,-,0,0,0,0,-,0,0,0,21
248,Sushant Marathe,MI,IND,0,0,-,0,0,0,0,-,0,0,0,26
249,Syed Quadri,DC,IND,0,0,-,0,0,0,0,-,0,0,0,30
250,Tamim Iqbal,PWI,BAN,0,0,-,0,0,0,0,-,0,0,0,23
251,Tanmay Mishra,DC,KEN,0,0,-,0,0,0,0,-,0,1,1,25
252,Tanmay Srivastava,DC,IND,0,0,-,0,0,0,0,-,0,0,0,22
253,Tejashwi Yadav,DD,IND,0,0,-,0,0,0,0,-,0,0,0,22
254,Tekkami Atchuta Rao,DC,IND,0,0,-,0,0,0,0,-,0,0,0,25
255,Thisara Perera,MI,SL,4,9,44.44444444,0,0,15,27,10.8,0,3,2,22
256,Tillakaratne Dilshan,RCB,SL,285,261,109.1954023,33,5,42,77,11,0,5,9,35
257,Tirumalasetti Suman,MI,IND,15,19,78.94736842,1,1,0,0,-,0,1,2,28
258,TP Sudhindra,DC,IND,0,0,-,0,0,70,136,11.65714286,1,0,3,28
259,Travis Birt,DD,AUS,0,0,-,0,0,0,0,-,0,0,0,30
260,Umesh Yadav,DD,IND,1,3,33.33333333,0,0,342,425,7.456140351,18,2,16,24
261,Unmukt Chand,DD,IND,36,34,105.8823529,2,3,0,0,-,0,1,2,19
262,Varun Aaron,DD,IND,1,1,100,0,0,162,208,7.703703704,6,1,7,22
263,Veer Pratap Singh,DC,IND,0,1,0,0,0,204,296,8.705882353,10,0,9,20
264,Venugopal Rao,DD,IND,122,119,102.5210084,8,4,12,26,13,0,0,9,30
265,Vijay Zol,RCB,IND,0,0,-,0,0,0,0,-,0,0,0,17
266,Vikas Mishra,DD,IND,0,0,-,0,0,0,0,-,0,0,0,19
267,Vikramjeet Malik,KXI,IND,0,0,-,0,0,0,0,-,0,0,0,29
268,Vinay Kumar,RCB,IND,68,62,109.6774194,3,2,335,480,8.597014925,19,6,14,28
269,Virat Kohli,RCB,IND,364,326,111.6564417,33,9,18,49,16.33333333,0,7,15,23
270,Virender Sehwag,DD,IND,494,301,164.1196013,57,19,18,24,8,0,7,15,33
271,Wayne Parnell,PWI,SA,19,27,70.37037037,2,0,126,128,6.095238095,5,1,6,22
272,Wriddhiman Saha,CSK,IND,6,14,42.85714286,0,0,0,0,-,0,1,3,27
273,Yo Mahesh,CSK,IND,0,0,-,0,0,56,81,8.678571429,3,1,4,24
274,Yogesh Nagar,DD,IND,153,133,115.037594,13,3,6,10,10,0,4,13,22
275,Yusuf Pathan,KKR,IND,193,167,115.5688623,10,7,126,165,7.857142857,3,3,16,29
276,Yuvraj Singh,PWI,IND,0,0,-,0,0,0,0,-,0,0,0,30
277,Yuzvendra Chahal,MI,IND,0,0,-,0,0,0,0,-,0,0,0,21
278,Zafir Patel,DD,IND,0,0,-,0,0,0,0,-,0,0,0,20
279,Zaheer Khan,RCB,IND,12,17,70.58823529,1,0,360,453,7.55,17,5,15,33
